Goudet: 466.108536; 4982.139318!
Pibeuf: 136.570848; 5498.060325!
Le Tilleul: 23.427882; 5514.526509!
Eringhem: 259.931253; 5649.440682!
Fontains: 333.115773; 5386.436505!
Saint-Nectaire: 332.270064; 5060.362794!
Courtelevant: 786.104109; 5274.388998!
Les Clous: 117.81318; 5179.530396!
Les Boyers: 623.700564; 4817.166345!
Autainville: 157.244265; 5314.876248!
Port de Bassens: -59.240811; 4984.042857!
Croazic: -416.25; 5403.849963!
Les Cloux: 306.754494; 5135.143383!
Croze: 213.029646; 5128.886202!
Les Combes: 307.036656; 5283.821889!
Hohengoeft: 829.570932; 5401.448478!
La Chaise-Dieu: 410.356899; 5030.644986!
Villers-Cernay: 558.473301; 5518.650603!
Vanxains: 31.449963; 5019.050037!
Hemilly: 721.677378; 5445.890658!
Montdragon: 233.606049; 4858.952295!
Alloue: 57.230823; 5108.913195!
Garies: 114.303804; 4862.393073!
Saint-Martial-le-Mont: 232.314564; 5111.4279!
Damgan: -286.044558; 5274.496446!
Sainte-Julienne: -401.450037; 5339.1!
Vialene: 249.565074; 4952.146452!
Bourbonne-les-Bains: 638.029221; 5322.788994!
Garcelles-Secqueville: -32.146377; 5449.996326!
Villevert: 226.084578; 5398.182192!
Haut Viny: -469.899963; 5322.45!
Fouqueville: 106.474086; 5463.342633!
Marnay-sur-Seine: 395.166549; 5384.780718!
Ligaudry: 172.444827; 5349.965457!
Courtonne-la-Meurdrac: 35.130612; 5453.237304!
Crisieu: 584.19966; 5071.729083!
Vittoncourt: 713.791383; 5441.204793!
Sainte-Pexine: -126.544551; 5168.251908!
L'Aiguillon-sur-Mer: -144.472605; 5142.771747!
Riberac: 36.999963; 5022.75!
Curlu: 312.694104; 5546.124102!
Marteil: 87.811212; 5003.337543!
Rechicourt-le-Chateau: 758.983923; 5401.803012!
Fiuminale: 1048.889616; 4705.328517!
La Vernede: 411.517404; 5026.472163!
Laleu: 214.504947; 5543.441454!
Chantambre: 265.830237; 5366.700816!
Tourtiere: 317.819751; 5165.041455!
Cestayrols: 220.191366; 4881.808749!
Fachin: 440.511381; 5217.541458!
Aurice: -67.088622; 4863.398955!
Campneuseville: 184.022904; 5534.575773!
Santeny: 285.653949; 5408.7303!
Saint-Pardoux-de-Dronne: 46.764855; 5020.043931!
Tourrette-Levens: 807.374484; 4860.40806!
Tremorel: -254.042814; 5350.083894!
Les Estrets: 372.095865; 4966.288629!
Poiroux: 85.224801; 5164.665165!
Le Pied du Col: 707.26092; 4998.817179!
La Bazouge-des-Alleux: -67.700232; 5348.313888!
Geste: -123.118092; 5237.178468!
Ventenac: 191.812218; 4774.252413!
Gimouille: 342.535233; 5210.583645!
Chatillon-en-Diois: 608.76618; 4961.083284!
Favreuil: 317.11146; 5564.026737!
La Boutelliere: 269.434407; 5157.661509!
Matignon: -254.328972; 5394.185859!
Les Thevenins: 372.622227; 5121.751344!
Le Monteil: 488.750094; 5028.5553!
Canohes: 314.832741; 4734.661266!
Bruville: 656.689542; 5453.460636!
Sainte-Honorine-des-Pertes: -89.540148; 5477.653197!
Labastide-Saint-Sernin: 163.008606; 4854.715869!
Genille: 121.785426; 5237.422557!
Augignac: 77.659263; 5060.453259!
Lissac-sur-Couze: 162.606897; 5006.443434!
Les Merciers: 269.635095; 5261.769741!
Viscos: -5.55; 4763.750148!
Rix: 671.831829; 5191.08039!
Mont Hemel: 149.85; 5520.399963!
Longueil: 107.300037; 5537.049963!
Ris: 389.207958; 5105.92008!
Breuilly: 166.214952; 5550.366411!
Les Maillans: 784.400037; 4847.000037!
Saint-Julien-du-Verdon: 725.911695; 4874.284614!
Les Salles-sur-Verdon: 689.263935; 4858.942749!
Vigne-le-Haut: 414.756495; 5254.668516!
Biches: 405.123582; 5217.805527!
Thionne: 396.783153; 5150.913264!
Ria: 266.174337; 4729.423509!
Serrieres-de-Briord: 602.453721; 5098.737159!
Marquein: 191.580117; 4806.895071!
Les Yveteaux: -30.483375; 5406.308835!
Renaudet: 168.08397; 4991.557557!
Saint-Constant: 38.85; 5074.550037!
Heres: 0.096792; 4834.437279!
La Charriere: 598.216074; 5039.12139!
Saulx-en-Woevre: 627.15; 5446.400037!
Lacollonge: 772.587195; 5290.628298!
Roussillon: 533.604417; 5036.404887!
Marongle: -219.737931; 5278.240032!
Thimert: 138.999417; 5391.134136!
Puyhabilier: 229.849254; 5030.042256!
Lindre-Haute: 749.145216; 5418.274302!
Les Bouneaux: 177.6; 5174.450037!
Lelin-Lapujolle: -16.65; 4852.550037!
Les Rencuraux: 725.199963; 4948.749963!
Le Sartre: 245.560194; 4973.354556!
Greneville-en-Beauce: 234.295248; 5348.226309!
Kerprich-aux-Bois: 772.499283; 5410.056417!
Nielles-les-Blequin: 225.480738; 5624.838309!
La Piraube: 341.936832; 5135.479047!
Mereau: 227.645127; 5235.088005!
Lanredec: -497.649963; 5372.4!
Autrepierre: 754.937529; 5395.940547!
San-Giuliano: 1056.337161; 4696.664412!
Plevin: -388.5; 5352.050037!
